ds,y,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_9,lag_12,lag_18,lag_24,rolling_mean_3,rolling_std_3,rolling_min_3,rolling_max_3,rolling_mean_6,rolling_std_6,rolling_min_6,rolling_max_6,rolling_mean_9,rolling_std_9,rolling_min_9,rolling_max_9,rolling_mean_12,rolling_std_12,rolling_min_12,rolling_max_12,diff_1,diff_12,day_of_week,day_of_month,day_of_year,week_of_year,month,quarter,is_weekend,fourier_sin_p12_k1,fourier_cos_p12_k1,fourier_sin_p12_k2,fourier_cos_p12_k2,fourier_sin_p12_k3,fourier_cos_p12_k3,fourier_sin_p12_k4,fourier_cos_p12_k4
1951-01-01,145,140.0,114.0,133.0,158.0,170.0,170.0,135.0,115.0,148.0,112.0,129.0,13.453624047073722,114.0,140.0,147.5,22.412050330123773,114.0,170.0,143.77777777777777,19.530602767053665,114.0,170.0,139.66666666666666,19.07084082302008,114.0,170.0,5.0,30.0,0,1,1,1,1,1,0,-4.898587196589413e-16,1.0,-9.797174393178826e-16,1.0,-1.4695761589768238e-15,1.0,-1.959434878635765e-15,1.0
1951-02-01,150,145.0,140.0,114.0,133.0,158.0,170.0,125.0,126.0,148.0,118.0,133.0,16.64331697709325,114.0,145.0,143.33333333333334,19.531171666509625,114.0,170.0,144.88888888888889,19.251262584856892,114.0,170.0,142.16666666666666,17.439940227865307,114.0,170.0,5.0,24.0,3,1,32,5,2,1,0,0.5000000000000006,0.8660254037844383,0.8660254037844393,0.49999999999999883,1.0,-2.45548340466059e-16,0.8660254037844373,-0.5000000000000023
1951-03-01,178,150.0,145.0,140.0,114.0,133.0,158.0,149.0,141.0,136.0,132.0,145.0,5.000000000000034,140.0,150.0,140.0,15.323185047502426,114.0,158.0,147.66666666666666,17.769355643916853,114.0,170.0,144.16666666666666,16.781122149786647,114.0,170.0,28.0,37.0,3,1,60,9,3,1,0,0.8660254037844387,0.49999999999999994,0.8660254037844386,-0.5000000000000001,5.14475451769206e-15,-1.0,-0.8660254037844388,-0.4999999999999998
1951-04-01,163,178.0,150.0,145.0,140.0,114.0,133.0,170.0,135.0,119.0,129.0,157.66666666666666,17.785762095938814,145.0,178.0,143.33333333333334,21.106081272151595,114.0,178.0,150.88888888888889,20.466096626154947,114.0,178.0,147.25,19.349066221302852,114.0,178.0,-15.0,28.0,6,1,91,13,4,2,1,1.0,5.51091059616309e-16,1.102182119232618e-15,-1.0,-1.0,-3.4296300182491773e-15,-2.204364238465236e-15,1.0
1951-05-01,172,163.0,178.0,150.0,145.0,140.0,114.0,170.0,125.0,104.0,121.0,163.66666666666666,14.011899704655821,150.0,178.0,148.33333333333334,21.71328318487713,114.0,178.0,150.11111111111111,19.770207664845376,114.0,178.0,149.58333333333334,19.425654702121623,114.0,178.0,9.0,47.0,1,1,121,18,5,2,0,0.8660254037844393,-0.499999999999999,-0.8660254037844375,-0.500000000000002,-1.7145055188062944e-15,1.0,0.8660254037844409,-0.49999999999999595
1951-06-01,178,172.0,163.0,178.0,150.0,145.0,140.0,158.0,149.0,118.0,135.0,171.0,7.549834435270793,163.0,178.0,158.0,15.349267083479926,140.0,178.0,150.33333333333334,20.031225624010123,114.0,178.0,153.5,18.744696219561295,114.0,178.0,6.0,29.0,4,1,152,22,6,2,0,0.5,-0.8660254037844386,-0.8660254037844386,0.5,1.0,7.1048083769644134e-15,-0.8660254037844386,-0.5
1951-07-01,199,178.0,172.0,163.0,178.0,150.0,145.0,133.0,170.0,115.0,148.0,171.0,7.549834435270793,163.0,178.0,164.33333333333334,14.23610433604175,145.0,178.0,152.55555555555554,22.000631304073472,114.0,178.0,155.91666666666666,19.942910945238058,114.0,178.0,21.0,29.0,6,1,182,26,7,3,1,2.388680238973927e-15,-1.0,-4.777360477947854e-15,1.0,-1.7157434800794711e-15,-1.0,-9.554720955895708e-15,1.0
1951-08-01,199,199.0,178.0,172.0,163.0,178.0,150.0,114.0,170.0,126.0,148.0,183.0,14.177446878757848,172.0,199.0,173.33333333333334,16.464102364437196,150.0,199.0,159.88888888888889,25.403958571669712,114.0,199.0,158.33333333333334,23.28219504386571,114.0,199.0,0.0,29.0,2,1,213,31,8,3,0,-0.49999999999999895,-0.8660254037844393,0.8660254037844374,0.5000000000000021,-1.0,-3.674559378078648e-15,0.866025403784441,-0.4999999999999957
1951-09-01,184,199.0,199.0,178.0,172.0,163.0,178.0,140.0,158.0,141.0,136.0,192.0,12.124355652982167,178.0,199.0,181.5,14.625320509308496,163.0,199.0,169.33333333333334,21.748563170931543,140.0,199.0,160.75,25.95494347728559,114.0,199.0,-15.0,26.0,5,1,244,35,9,3,1,-0.8660254037844377,-0.5000000000000016,0.8660254037844405,-0.49999999999999684,-1.959434878635765e-15,1.0,-0.8660254037844349,-0.5000000000000063
1951-10-01,162,184.0,199.0,199.0,178.0,172.0,163.0,145.0,133.0,135.0,119.0,194.0,8.660254037844425,184.0,199.0,182.5,14.543039572248977,163.0,199.0,174.22222222222223,19.11660127858622,145.0,199.0,162.91666666666666,26.776714216692515,114.0,199.0,-22.0,29.0,0,1,274,40,10,4,0,-1.0,1.1028010998692062e-15,-2.2056021997384123e-15,-1.0,1.0,2.443103791928823e-16,4.411204399476825e-15,1.0
