ds,y,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_9,lag_12,lag_18,lag_24,lag_36,rolling_mean_3,rolling_std_3,rolling_min_3,rolling_max_3,rolling_mean_6,rolling_std_6,rolling_min_6,rolling_max_6,rolling_mean_12,rolling_std_12,rolling_min_12,rolling_max_12,rolling_mean_24,rolling_std_24,rolling_min_24,rolling_max_24,diff_1,diff_12,diff_24,day_of_week,day_of_month,day_of_year,week_of_year,month,quarter,is_weekend,fourier_sin_p12_k1,fourier_cos_p12_k1,fourier_sin_p12_k2,fourier_cos_p12_k2,fourier_sin_p12_k3,fourier_cos_p12_k3,fourier_sin_p12_k4,fourier_cos_p12_k4
1952-01-01,171,166.0,146.0,162.0,184.0,199.0,199.0,163.0,145.0,170.0,115.0,112.0,158.0,10.583005244258379,146.0,166.0,176.0,21.53137245973883,146.0,199.0,170.16666666666666,18.43826718999636,145.0,199.0,154.91666666666666,24.06678509746444,114.0,199.0,5.0,26.0,56.0,1,1,1,1,1,1,0,-7.347880794884119e-16,1.0,-1.4695761589768238e-15,1.0,-2.204364238465236e-15,1.0,-2.9391523179536475e-15,1.0
1952-02-01,180,171.0,166.0,146.0,162.0,184.0,199.0,172.0,150.0,170.0,126.0,118.0,161.0,13.228756555322965,146.0,171.0,171.33333333333334,18.348478592697177,146.0,199.0,172.33333333333334,16.653327995729047,146.0,199.0,157.25,22.704625079485464,114.0,199.0,9.0,30.0,54.0,4,1,32,5,2,1,0,0.49999999999999883,0.8660254037844393,0.8660254037844373,0.5000000000000023,1.0,4.892397390223529e-16,0.8660254037844414,-0.49999999999999534
1952-03-01,193,180.0,171.0,166.0,146.0,162.0,184.0,178.0,178.0,158.0,141.0,132.0,172.33333333333334,7.094598884597608,166.0,180.0,168.16666666666666,13.658940905746192,146.0,184.0,174.83333333333334,15.182725431066425,146.0,199.0,159.5,22.141835279967598,114.0,199.0,13.0,15.0,52.0,5,1,61,9,3,1,1,0.8660254037844377,0.5000000000000017,0.8660254037844406,-0.4999999999999966,5.879542597180472e-15,-1.0,-0.8660254037844347,-0.5000000000000068
1952-04-01,181,193.0,180.0,171.0,166.0,146.0,162.0,199.0,163.0,133.0,135.0,129.0,181.33333333333334,11.060440015358047,171.0,193.0,169.66666666666666,16.033298683261236,146.0,193.0,176.08333333333334,16.05931241216494,146.0,199.0,161.66666666666666,22.78761423051656,114.0,199.0,-12.0,18.0,46.0,1,1,92,14,4,2,0,1.0,2.57237725884603e-15,5.14475451769206e-15,-1.0,-1.0,-4.164418097737589e-15,-1.028950903538412e-14,1.0
1952-05-01,183,181.0,193.0,180.0,171.0,166.0,146.0,199.0,172.0,114.0,125.0,121.0,184.66666666666666,7.234178138070241,180.0,193.0,172.83333333333334,16.09244128983127,146.0,193.0,177.58333333333334,15.55902739033945,146.0,199.0,163.58333333333334,22.3780106872537,114.0,199.0,2.0,11.0,58.0,3,1,122,18,5,2,0,0.8660254037844385,-0.5000000000000003,-0.866025403784439,-0.49999999999999933,-9.554720955895708e-15,1.0,0.8660254037844379,-0.5000000000000012
1952-06-01,218,183.0,181.0,193.0,180.0,171.0,166.0,184.0,178.0,140.0,149.0,135.0,185.66666666666666,6.429100507328643,181.0,193.0,179.0,9.486832980505113,166.0,193.0,178.5,15.524174696260024,146.0,199.0,166.0,21.126945498272026,114.0,199.0,35.0,40.0,69.0,6,1,153,22,6,2,1,0.5000000000000033,-0.8660254037844367,-0.8660254037844425,0.4999999999999934,1.0,7.839596456452825e-15,-0.866025403784431,-0.5000000000000131
1952-07-01,230,218.0,183.0,181.0,193.0,180.0,171.0,162.0,199.0,145.0,170.0,148.0,194.0,20.808652046684813,181.0,218.0,187.66666666666666,16.439789130845515,171.0,218.0,181.83333333333334,19.25349240259985,146.0,218.0,168.875,23.29641230075903,114.0,218.0,12.0,31.0,60.0,1,1,183,27,7,3,0,8.572527594031472e-16,-1.0,-1.7145055188062944e-15,1.0,-9.809554005910593e-16,-1.0,-3.429011037612589e-15,1.0
1952-08-01,242,230.0,218.0,183.0,181.0,193.0,180.0,146.0,199.0,150.0,170.0,148.0,210.33333333333334,24.419937209856485,183.0,230.0,197.5,21.379897099845913,180.0,230.0,184.41666666666666,23.399527319753272,146.0,230.0,171.375,26.430898420302476,114.0,230.0,12.0,43.0,72.0,4,1,214,31,8,3,0,-0.4999999999999987,-0.8660254037844394,0.8660254037844372,0.5000000000000026,-1.0,-4.40934745756706e-15,0.8660254037844416,-0.4999999999999949
1952-09-01,209,242.0,230.0,218.0,183.0,181.0,193.0,166.0,184.0,178.0,158.0,136.0,230.0,11.999999999999991,218.0,242.0,207.83333333333334,25.763669510895888,181.0,242.0,188.0,28.559348095437425,146.0,242.0,174.375,30.09956304752901,114.0,242.0,-33.0,25.0,51.0,0,1,245,36,9,3,0,-0.8660254037844376,-0.5000000000000018,0.8660254037844407,-0.4999999999999964,4.411204399476825e-15,1.0,-0.8660254037844345,-0.5000000000000072
1952-10-01,191,209.0,242.0,230.0,218.0,183.0,181.0,171.0,162.0,163.0,133.0,119.0,227.0,16.70329308849006,209.0,242.0,210.5,24.728526037756467,181.0,242.0,190.08333333333334,29.14683308333653,146.0,242.0,176.5,30.687768417315436,114.0,242.0,-18.0,29.0,58.0,2,1,275,40,10,4,0,-1.0,8.578717400397356e-16,-1.7157434800794711e-15,-1.0,1.0,9.790984586812941e-16,3.4314869601589423e-15,1.0
