ds,y,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_std_3,rolling_std_6,diff_1,diff_12
1951-01-01,145,140.0,114.0,133.0,170.0,115.0,13.453624047073722,22.412050330123773,5.0,30.0
1951-02-01,150,145.0,140.0,114.0,170.0,126.0,16.64331697709325,19.531171666509625,5.0,24.0
1951-03-01,178,150.0,145.0,140.0,158.0,141.0,5.000000000000034,15.323185047502426,28.0,37.0
1951-04-01,163,178.0,150.0,145.0,133.0,135.0,17.785762095938814,21.106081272151595,-15.0,28.0
1951-05-01,172,163.0,178.0,150.0,114.0,125.0,14.01189970465582,21.71328318487713,9.0,47.0
1951-06-01,178,172.0,163.0,178.0,140.0,149.0,7.549834435270793,15.349267083479926,6.0,29.0
1951-07-01,199,178.0,172.0,163.0,145.0,170.0,7.549834435270793,14.23610433604175,21.0,29.0
1951-08-01,199,199.0,178.0,172.0,150.0,170.0,14.177446878757848,16.464102364437196,0.0,29.0
1951-09-01,184,199.0,199.0,178.0,178.0,158.0,12.124355652982167,14.625320509308496,-15.0,26.0
1951-10-01,162,184.0,199.0,199.0,163.0,133.0,8.660254037844425,14.543039572248976,-22.0,29.0
1951-11-01,146,162.0,184.0,199.0,172.0,114.0,18.61003313627716,14.814407401805394,-16.0,32.0
1951-12-01,166,146.0,162.0,184.0,178.0,140.0,19.078784028338923,20.9666401695646,20.0,26.0
1952-01-01,171,166.0,146.0,162.0,199.0,145.0,10.58300524425838,21.53137245973883,5.0,26.0
1952-02-01,180,171.0,166.0,146.0,199.0,150.0,13.228756555322963,18.348478592697177,9.0,30.0
1952-03-01,193,180.0,171.0,166.0,184.0,178.0,7.094598884597608,13.658940905746192,13.0,15.0
1952-04-01,181,193.0,180.0,171.0,162.0,163.0,11.060440015358049,16.033298683261236,-12.0,18.0
1952-05-01,183,181.0,193.0,180.0,146.0,172.0,7.234178138070241,16.09244128983127,2.0,11.0
1952-06-01,218,183.0,181.0,193.0,166.0,178.0,6.429100507328643,9.486832980505111,35.0,40.0
1952-07-01,230,218.0,183.0,181.0,171.0,199.0,20.808652046684813,16.439789130845515,12.0,31.0
1952-08-01,242,230.0,218.0,183.0,180.0,199.0,24.419937209856485,21.379897099845916,12.0,43.0
1952-09-01,209,242.0,230.0,218.0,193.0,184.0,11.999999999999991,25.763669510895888,-33.0,25.0
1952-10-01,191,209.0,242.0,230.0,181.0,162.0,16.70329308849006,24.728526037756467,-18.0,29.0
1952-11-01,172,191.0,209.0,242.0,183.0,146.0,25.86503431275512,22.5868693418691,-19.0,26.0
1952-12-01,194,172.0,191.0,209.0,218.0,166.0,18.502252115170545,25.664502073226878,22.0,28.0
1953-01-01,196,194.0,172.0,191.0,230.0,171.0,11.930353445448835,26.09725400624876,2.0,25.0
